Player Name,Team Name,Total runs,Year,Matches Played,Innings,Not Outs,Highest Score,Average,Balls Faced,Strike Rate,0,50,100,4s,6s,Dream 11 Points,Reference,Role
G Coetzee,MI,14,2024,10,5,1,8,3.5,22,63.63,1,0,0,0,1,14,G Coetzee,Bowler
R Sai Kishore,GT,13,2024,5,2,1,13,13,6,216.66,0,0,0,0,2,17,R Sai Kishore,Bowler
HV Patel,PBKS,13,2024,14,4,1,12,4.33,19,68.42,2,0,0,1,1,12,HV Patel,Bowler
DG Nalkande,GT,12,2024,3,1,0,12,12,11,109.09,0,0,0,0,1,14,DG Nalkande,Bowler
UT Yadav,GT,12,2024,7,2,1,10*,12,15,80,0,0,0,0,1,14,UT Yadav,Bowler
Mohammed Siraj,RCB,12,2024,14,3,1,12,6,8,150,1,0,0,0,2,14,Mohammed Siraj,Bowler
JJ Bumrah,MI,12,2024,13,4,4,8*,0,12,100,0,0,0,1,0,13,JJ Bumrah,Bowler
Lalit Yadav,DC,10,2024,2,2,0,7,5,12,83.33,0,0,0,1,0,11,Lalit Yadav,Bowler
Avesh Khan,RR,10,2024,16,3,3,7*,0,5,200,0,0,0,1,0,11,Avesh Khan,Bowler
L Wood,MI,9,2024,2,1,1,9*,0,3,300,0,0,0,0,1,11,L Wood,Bowler
A Manohar,GT,9,2024,2,2,0,8,4.5,16,56.25,0,0,0,1,0,6,A Manohar,Bowler
AA Kulkarni,LSG,9,2024,2,2,0,9,4.5,8,112.5,1,0,0,2,0,9,AA Kulkarni,Bowler
MA Starc,KKR,9,2024,14,5,3,6*,4.5,11,81.81,2,0,0,1,0,6,MA Starc,Bowler
D Ferreira,RR,8,2024,2,2,0,7,4,11,72.72,0,0,0,0,0,8,D Ferreira,Bowler
V Viyaskanth,SRH,7,2024,3,1,1,7*,0,5,140,0,0,0,0,0,7,V Viyaskanth,Bowler
SH Johnson,GT,6,2024,5,3,3,5*,0,7,85.71,0,0,0,1,0,7,SH Johnson,Bowler
Anmolpreet Singh,SRH,5,2024,2,2,0,5,2.5,6,83.33,1,0,0,1,0,4,Anmolpreet Singh,Bowler
Noor Ahmad,GT,5,2024,10,4,2,4,2.5,9,55.55,0,0,0,1,0,6,Noor Ahmad,Bowler
MS Wade,GT,4,2024,2,1,0,4,4,6,66.66,0,0,0,0,0,4,MS Wade,Bowler
Arshdeep Singh,PBKS,4,2024,14,1,0,4,4,3,133.33,0,0,0,1,0,5,Arshdeep Singh,Bowler
A Madhwal,MI,4,2024,5,1,1,4*,0,5,80,0,0,0,0,0,4,A Madhwal,Bowler
A Nortje,DC,4,2024,6,2,0,4,2,8,50,1,0,0,0,0,2,A Nortje,Bowler
Ravi Bishnoi,LSG,4,2024,14,3,0,2,1.33,6,66.66,1,0,0,0,0,2,Ravi Bishnoi,Bowler
RJW Topley,RCB,3,2024,4,1,1,3*,0,6,50,0,0,0,0,0,3,RJW Topley,Bowler
AS Roy,KKR,3,2024,4,1,1,3*,0,3,100,0,0,0,0,0,3,AS Roy,Bowler
RK Bhui,DC,3,2024,2,2,0,3,1.5,9,33.33,1,0,0,0,0,1,RK Bhui,Bowler
Mukesh Kumar,DC,3,2024,10,2,1,3,3,9,33.33,0,0,0,0,0,3,Mukesh Kumar,Bowler
K Kushagra,DC,3,2024,4,3,0,2,1,7,42.85,1,0,0,0,0,1,K Kushagra,Bowler
